b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),psi,b/h,L/h,axial_flag,section_family
168.8,168.8,84.4,2.64,0.0,302.4,18.2,305.0,0.0,0.0,1326.0,0.5,63.93939393939394,21000.59687162932,2103.322226753933,81.75999999999999,3.996666554885877,1.0,1.6641197381783,14.782191367386122,7.3436645906539,0.08273179497341888,0.0,0.0,0.0,1018.2555044340431,1.3022271858348602,1.0,1.8068720379146919,axial,circular
168.8,168.8,84.4,2.64,0.0,302.4,34.7,305.0,0.0,0.0,1219.0,0.5,63.93939393939394,21000.59687162932,2103.322226753933,81.75999999999999,3.996666554885877,1.0,0.8728236090733446,14.782191367386122,7.3436645906539,0.0907196960389449,0.0,0.0,0.0,1364.765352815927,0.8931938354713002,1.0,1.8068720379146919,axial,circular
169.3,169.3,84.65,2.62,0.0,338.1,37.1,305.0,0.0,0.0,1308.0,0.5,64.61832061068702,21139.52846602682,2094.2166616290924,82.03,3.9672718590965133,1.0,0.9028125256832679,16.351756864080592,7.32083441934722,0.09398037434624487,0.0,0.0,0.0,1492.3311593863914,0.8764810623788196,1.0,1.8015357353809804,axial,circular
169.3,169.3,84.65,2.62,0.0,338.1,34.1,305.0,0.0,0.0,1330.0,0.5,64.61832061068702,21139.52846602682,2094.2166616290924,82.03,3.9672718590965133,1.0,0.9822388475908869,16.351756864080592,7.32083441934722,0.09269862805904647,0.0,0.0,0.0,1428.9125739883104,0.9307777286106241,1.0,1.8015357353809804,axial,circular
168.3,168.3,84.15,3.6,0.0,288.4,27.0,305.0,0.0,0.0,1557.0,0.5,46.75,20383.603468268295,2828.80688383354,80.55000000000001,5.407778573140064,1.0,1.4823604860344304,19.361928497747908,7.404688234215976,0.08490605013142848,0.0,0.0,0.0,1366.185198940837,1.1396697908944529,1.0,1.8122400475341651,axial,circular
168.3,168.3,84.15,3.6,0.0,288.4,33.3,305.0,0.0,0.0,1432.0,0.5,46.75,20383.603468268295,2828.80688383354,80.55000000000001,5.407778573140064,1.0,1.2019139075954843,19.361928497747908,7.404688234215976,0.08750457805219487,0.0,0.0,0.0,1494.601900790927,0.9581146653447994,1.0,1.8122400475341651,axial,circular
168.3,168.3,84.15,3.6,0.0,288.4,33.3,305.0,0.0,0.0,1463.0,0.5,46.75,20383.603468268295,2828.80688383354,80.55000000000001,5.407778573140064,1.0,1.2019139075954843,19.361928497747908,7.404688234215976,0.08750457805219487,0.0,0.0,0.0,1494.601900790927,0.9788559744409507,1.0,1.8122400475341651,axial,circular
168.8,168.8,84.4,5.0,0.0,200.2,33.4,305.0,0.0,0.0,1966.0,0.5,33.760000000000005,19805.73106158535,3879.0356167099594,79.4,7.427964306770534,1.0,1.1739524216388477,18.728947786088927,7.435403830092824,0.07696873118397005,0.0,0.0,0.0,1438.0943479222847,1.3670869389344429,1.0,1.8068720379146919,axial,circular
168.8,168.8,84.4,5.0,0.0,200.2,33.4,305.0,0.0,0.0,1970.0,0.5,33.760000000000005,19805.73106158535,3879.0356167099594,79.4,7.427964306770534,1.0,1.1739524216388477,18.728947786088927,7.435403830092824,0.07696873118397005,0.0,0.0,0.0,1438.0943479222847,1.3698683976097927,1.0,1.8068720379146919,axial,circular
168.8,168.8,84.4,5.0,0.0,200.2,27.9,305.0,0.0,0.0,1984.0,0.5,33.760000000000005,19805.73106158535,3879.0356167099594,79.4,7.427964306770534,1.0,1.405376734148298,18.728947786088927,7.435403830092824,0.07471435232507505,0.0,0.0,0.0,1329.1628270835652,1.4926688886968587,1.0,1.8068720379146919,axial,circular
168.8,168.8,84.4,5.0,0.0,200.2,27.9,305.0,0.0,0.0,1984.0,0.5,33.760000000000005,19805.73106158535,3879.0356167099594,79.4,7.427964306770534,1.0,1.405376734148298,18.728947786088927,7.435403830092824,0.07471435232507505,0.0,0.0,0.0,1329.1628270835652,1.4926688886968587,1.0,1.8068720379146919,axial,circular
178.0,178.0,89.0,9.0,0.0,283.314,22.163,360.0,0.0,0.0,2922.382,0.5,19.77777777777778,20106.192982974677,7065.637573889924,80.0,13.000334902412135,1.0,4.4922198186771505,46.0397110317749,8.45350853803014,0.09018557059200476,0.0,0.0,0.0,2447.407598690718,1.1940724551004,1.0,2.0224719101123596,axial,circular
178.0,178.0,89.0,9.0,0.0,283.314,22.163,360.0,0.0,0.0,2853.735,0.5,19.77777777777778,20106.192982974677,7065.637573889924,80.0,13.000334902412135,1.0,4.4922198186771505,46.0397110317749,8.45350853803014,0.09018557059200476,0.0,0.0,0.0,2447.407598690718,1.1660235922805233,1.0,2.0224719101123596,axial,circular
178.0,178.0,89.0,9.0,0.0,283.314,45.405,360.0,0.0,0.0,3216.581,0.5,19.77777777777778,20106.192982974677,7065.637573889924,80.0,13.000334902412135,1.0,2.19273357210311,46.0397110317749,8.45350853803014,0.09620272267806151,0.0,0.0,0.0,2914.715736001015,1.1035659362148103,1.0,2.0224719101123596,axial,circular
178.0,178.0,89.0,9.0,0.0,283.314,45.405,360.0,0.0,0.0,3177.355,0.5,19.77777777777778,20106.192982974677,7065.637573889924,80.0,13.000334902412135,1.0,2.19273357210311,46.0397110317749,8.45350853803014,0.09620272267806151,0.0,0.0,0.0,2914.715736001015,1.0901080200566404,1.0,2.0224719101123596,axial,circular
179.0,179.0,89.5,5.5,0.0,248.501,22.163,360.0,0.0,0.0,1814.23,0.5,32.54545454545455,22167.07776372958,4515.13521031194,84.0,8.158625070575027,1.0,2.2838201989074576,24.136029626940058,8.28366281337212,0.08628876474992103,0.0,0.0,0.0,1613.304559375266,1.1245427836034505,1.0,2.011173184357542,axial,circular
179.0,179.0,89.5,5.5,0.0,248.501,23.928,360.0,0.0,0.0,1814.23,0.5,32.54545454545455,22167.07776372958,4515.13521031194,84.0,8.158625070575027,1.0,2.115358871129471,24.136029626940058,8.28366281337212,0.08701931017658575,0.0,0.0,0.0,1652.4294516282487,1.0979167662572937,1.0,2.011173184357542,axial,circular
179.0,179.0,89.5,5.5,0.0,248.501,43.64,360.0,0.0,0.0,2039.783,0.5,32.54545454545455,22167.07776372958,4515.13521031194,84.0,8.158625070575027,1.0,1.1598603819520161,24.136029626940058,8.28366281337212,0.09477419193994664,0.0,0.0,0.0,2089.386888506886,0.9762591175527411,1.0,2.011173184357542,axial,circular
179.0,179.0,89.5,5.5,0.0,248.501,43.64,360.0,0.0,0.0,2029.977,0.5,32.54545454545455,22167.07776372958,4515.13521031194,84.0,8.158625070575027,1.0,1.1598603819520161,24.136029626940058,8.28366281337212,0.09477419193994664,0.0,0.0,0.0,2089.386888506886,0.9715658747388133,1.0,2.011173184357542,axial,circular
174.0,174.0,87.0,3.0,0.0,265.956,23.928,360.0,0.0,0.0,1314.091,0.5,58.0,22167.07776372958,2456.3629687084363,84.0,4.53182827094254,1.0,1.2316505046939874,14.34841570984279,8.421577005559337,0.09415635193414136,0.0,0.0,0.0,1183.6983064363421,1.110157033134752,1.0,2.0689655172413794,axial,circular
174.0,174.0,87.0,3.0,0.0,265.956,23.928,360.0,0.0,0.0,1304.284,0.5,58.0,22167.07776372958,2456.3629687084363,84.0,4.53182827094254,1.0,1.2316505046939874,14.34841570984279,8.421577005559337,0.09415635193414136,0.0,0.0,0.0,1183.6983064363421,1.1018719828422285,1.0,2.0689655172413794,axial,circular
174.0,174.0,87.0,3.0,0.0,265.956,45.699,360.0,0.0,0.0,1608.291,0.5,58.0,22167.07776372958,2456.3629687084363,84.0,4.53182827094254,1.0,0.6448923012826918,14.34841570984279,8.421577005559337,0.10567652774400106,0.0,0.0,0.0,1666.2977564304988,0.9651882406930923,1.0,2.0689655172413794,axial,circular
174.0,174.0,87.0,3.0,0.0,265.956,45.699,360.0,0.0,0.0,1676.937,0.5,58.0,22167.07776372958,2456.3629687084363,84.0,4.53182827094254,1.0,0.6448923012826918,14.34841570984279,8.421577005559337,0.10567652774400106,0.0,0.0,0.0,1666.2977564304988,1.006384959427835,1.0,2.0689655172413794,axial,circular
159.0,159.0,79.5,5.07,0.0,381.5,41.5,477.0,0.0,0.0,2230.0,0.5,31.360946745562128,17403.873208013814,3688.8034391629194,74.43,7.509047485764228,1.0,1.9484355686828752,38.48853440573764,12.36815811105875,0.15926661534373543,0.0,0.0,0.0,2129.5392501732267,1.0471748758885762,1.0,3.0,axial,circular
630.0,630.0,315.0,7.0,0.0,291.4,36.0,1890.0,0.0,0.0,16650.0,0.5,90.0,298024.04549014213,20991.514437694914,308.0,10.66252771778494,1.0,0.5701373764698301,10.087859016112114,12.139524865439427,0.15416483069490874,0.0,0.0,0.0,16845.792944789413,0.9883773387556699,1.0,3.0,axial,circular
630.0,630.0,315.0,7.61,0.0,349.5,35.0,1890.0,0.0,0.0,18000.0,0.5,82.78580814717476,296844.72962125565,22779.653368808413,307.39000000000004,11.576457438915668,1.0,0.7662966102135625,13.162340593061014,12.151103140530122,0.15818574630583623,0.0,0.0,0.0,18351.054389142486,0.9808700698227896,1.0,3.0,axial,circular
630.0,630.0,315.0,8.44,0.0,350.0,34.5,1890.0,0.0,0.0,18600.0,0.5,74.64454976303318,295243.8415492283,25202.10729678111,306.56,12.816131708726857,1.0,0.865974209469005,14.632196301064717,12.16670977938007,0.15705641335476767,0.0,0.0,0.0,19006.650087321766,0.978604852225221,1.0,3.0,axial,circular
630.0,630.0,315.0,10.21,0.0,323.3,38.4,1890.0,0.0,0.0,20500.0,0.5,61.704211557296766,291844.35712550173,30327.296873054453,304.79,15.444948929569534,1.0,0.8748969092020085,16.38292591269343,12.199426625888362,0.1553418296867695,0.0,0.0,0.0,21011.63839267777,0.9756497621405826,1.0,3.0,axial,circular
630.0,630.0,315.0,11.6,0.0,347.2,46.0,1890.0,0.0,0.0,24400.0,0.5,54.310344827586206,289188.50464748,34313.253595032846,303.3999999999999,17.495322257010287,0.9999999999999999,0.8955766444750363,20.021014791146907,12.22458370502896,0.16164550654283752,0.0,0.0,0.0,25216.232861979483,0.9676306581380686,1.0,3.0,axial,circular
720.0,720.0,360.0,8.3,0.0,312.0,15.0,2160.0,0.0,0.0,15000.0,0.5,86.74698795180723,388592.6745252903,28423.58662005321,351.7,12.635557723871159,1.0,1.521414685491272,11.209252231583172,12.144518590795705,0.13642003477676085,0.0,0.0,0.0,14697.049143335957,1.0206130396455406,1.0,3.0,axial,circular
820.0,820.0,410.0,8.93,0.0,331.0,45.0,2460.0,0.0,0.0,33600.0,0.5,91.82530795072789,505347.6246952688,34869.76082682465,401.07,13.606421442119824,1.0,0.5075446097630482,11.229275431574694,12.136870871476676,0.16523363164232702,0.0,0.0,0.0,34282.53394496605,0.9800909131728206,1.0,3.0,axial,circular
1020.0,1020.0,510.0,9.64,0.0,336.0,16.9,3060.0,0.0,0.0,30000.0,0.5,105.80912863070539,786529.5439031485,46948.53950444331,500.36,14.716997997536737,1.0,1.1867510345240946,9.882707105228922,12.11945877641263,0.1416132681499022,0.0,0.0,0.0,29067.05856545616,1.0320961762416705,1.0,3.0,axial,circular
1020.0,1020.0,510.0,13.25,0.0,368.7,28.9,3060.0,0.0,0.0,46000.0,0.5,76.98113207547169,775221.170345685,64106.1711469798,496.75,20.131215117626198,1.0,1.054992832880797,14.941880249358388,12.161910943944145,0.15496445671827375,0.0,0.0,0.0,46039.83712488174,0.999134724895449,1.0,3.0,axial,circular
165.0,165.0,82.5,4.5,0.0,254.4,33.2,660.0,0.0,0.0,1647.0,0.5,36.666666666666664,19113.449704440303,3427.984705944772,78.0,6.706324566640575,1.0,1.3742913748299692,21.872935509658493,16.42789324928787,0.1833219888616382,0.0,0.0,0.0,1506.6458393797682,1.0931567040851555,1.0,4.0,axial,circular
114.0,114.0,57.0,4.5,0.0,271.0,33.2,456.0,0.0,0.0,1033.0,0.5,25.333333333333332,8659.014751456867,2312.9802199436294,52.5,6.597330485865562,1.0,2.1803923341865077,34.0547916508489,16.588724346909633,0.18291873564687877,0.0,0.0,0.0,914.2969293530916,1.1298298909643023,1.0,4.0,axial,circular
88.5,88.5,44.25,4.0,0.0,232.0,33.2,354.0,0.0,0.0,602.0,0.5,22.125,5089.576448356314,1578.14168308665,40.25,5.819519202236172,1.0,2.1667771647187135,33.54356409736129,16.657905248266186,0.17218539536053504,0.0,0.0,0.0,535.1028085615324,1.125017455277989,1.0,4.0,axial,circular
60.0,60.0,30.0,3.5,0.0,223.0,33.2,240.0,0.0,0.0,334.0,0.5,17.142857142857142,2206.1834409834323,911.7500527526184,26.5,5.003476879858059,1.0,2.7758817132926645,42.10472997012631,16.801854335924297,0.16746086343503658,0.0,0.0,0.0,276.5655520044839,1.20767028857804,1.0,4.0,axial,circular
48.0,48.0,24.0,3.5,0.0,304.0,33.2,192.0,0.0,0.0,273.0,0.5,13.714285714285714,1320.2543126711105,707.6969442033898,20.5,4.907025283609993,1.0,4.908233614790911,72.76759444963112,16.938016855739995,0.18803221352124763,0.0,0.0,0.0,258.9723142185113,1.0541667391119371,1.0,4.0,axial,circular
131.76,131.76,65.88,2.38,0.0,235.0,17.4,264.0,0.0,0.0,535.0,0.5,55.36134453781512,12667.68697743744,1473.3645670989547,63.49999999999999,3.591255075907604,1.0,1.5708384098638226,13.290471540760425,8.161926092204778,0.08398441993520596,0.0,0.0,0.0,566.6584266756659,0.9441313758247771,1.0,2.003642987249545,axial,circular
134.3,134.3,67.15,3.12,0.0,235.0,26.6,264.0,0.0,0.0,681.0,0.5,43.044871794871796,12880.030052326965,1949.519132190524,64.03,4.6751098032794545,0.9999999999999999,1.3372014871711673,17.158375820251,8.04509036428519,0.08613935638563007,0.0,0.0,0.0,800.7457954566704,0.850457166136753,1.0,1.965748324646314,axial,circular
130.6,130.6,65.3,4.3,0.0,235.0,26.6,264.0,0.0,0.0,725.0,0.5,30.372093023255815,11689.86626400762,2564.5924457619185,61.0,6.359744131924117,1.0,1.93818416745435,24.500653622986352,8.34080540083721,0.0866248494976813,0.0,0.0,0.0,913.6296673766535,0.7935381543396304,1.0,2.021439509954058,axial,circular
132.45,132.45,66.225,5.25,0.0,235.0,26.6,264.0,0.0,0.0,872.0,0.5,25.228571428571428,11680.286369909578,3134.194425932736,60.974999999999994,7.695195106731134,1.0,2.3706021223083065,29.657578517126964,8.267196682290626,0.08459169298369794,0.0,0.0,0.0,1047.2313075337877,0.8326718211409717,1.0,1.9932049830124576,axial,circular
134.1,134.1,67.05,6.2,0.0,235.0,26.6,264.0,0.0,0.0,1006.0,0.5,21.629032258064516,11632.445804281631,3698.8598575563656,60.849999999999994,9.007756622071398,1.0,2.8092026206373575,34.78755638762167,8.204478720834773,0.08299135943160538,0.0,0.0,0.0,1178.6551249196373,0.8535151451266042,1.0,1.9686800894854588,axial,circular
101.8,101.8,50.9,2.94,0.0,320.0,18.0,200.0,0.0,0.0,628.0,0.5,34.625850340136054,7226.170784629344,1377.5139217823723,47.96,4.37199690112287,1.0,3.388950679014198,29.170955136766437,8.079634847962279,0.0909485347488296,0.0,0.0,0.0,570.8755290936873,1.100064669082948,1.0,1.9646365422396856,axial,circular
101.8,101.8,50.9,2.94,0.0,320.0,37.4,200.0,0.0,0.0,660.0,0.5,34.625850340136054,7226.170784629344,1377.5139217823723,47.96,4.37199690112287,1.0,1.6310457813437318,29.170955136766437,8.079634847962279,0.0977409483862846,0.0,0.0,0.0,711.0632423154965,0.92818748139868,1.0,1.9646365422396856,axial,circular
101.8,101.8,50.9,5.7,0.0,305.0,18.0,200.0,0.0,0.0,954.0,0.5,17.859649122807017,6418.399454990089,2531.3297921431194,45.19999999999999,8.174032057084794,1.0,6.682659334982513,55.15663224360316,8.240516604009525,0.08941892661460965,0.0,0.0,0.0,887.5867767934731,1.0748244847072346,1.0,1.9646365422396856,axial,circular
101.8,101.8,50.9,5.7,0.0,305.0,37.4,200.0,0.0,0.0,971.0,0.5,17.859649122807017,6418.399454990089,2531.3297921431194,45.19999999999999,8.174032057084794,1.0,3.216253155873937,55.15663224360316,8.240516604009525,0.09369929293107018,0.0,0.0,0.0,1012.1037262202807,0.9593878323383086,1.0,1.9646365422396856,axial,circular
