hard_case_rank,Ref.No.,fco (MPa),type,Specimen,fy (MPa),fcy150 (MPa),R（%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN),raw_csv_row_num,actual_nexp_kn,predicted_nexp_kn,error_kn,abs_error_kn,pct_error,abs_pct_error,pred_actual_ratio,abs_log_ratio,Npl (kN),lambda_bar,e/h,xi,axial_flag,section_family,actual_psi,predicted_psi,regime_axiality,regime_section_family,regime_slenderness_state,regime_scale_npl,regime_eccentricity_severity,regime_confinement_level,is_top_abs_error,is_top_abs_pct_error,hard_case_reason,hardness_score
1,"L. K. Luksha, D. V. Cherkasov, and V. E. Shevchuk, “Strength testing of large-diameter concrete filled tubular members,” Proceedings of the Third International Conference on Steel-Concrete Composite Structures, Wakabayashi, M. (ed.), Fukuoka, Japan, September 26-29, 1991, Association for International Cooperation and Research in Steel-Concrete Composite Structures, pp. 67–71, 1991.",16.9,"Cylinder,size not specified, assumed as fcy150",SB 9,336,16.9,0,1020,1020,9.6,510,3060,0,0,30000,8621,30000.0,30422.593738105366,422.59373810536636,422.59373810536636,1.4086457936845547,1.4086457936845547,1.0140864579368456,0.013988165771723245,29004.871618062883,0.1416193969680683,0.0,1.1817237943881314,axial,circular,1.0343090083293938,1.048878758668926,axial,circular,very_stocky,scale_npl_q5,axial,mid_conf,True,False,top_abs_error,0.8423809523809525
2,"M. V. Chitawadagi, M. C. Narasimhan, and S. M. Kulkarni, “Axial strength of circular concrete-filled steel tube columns — DOE approach,” Journal of Constructional Steel Research, vol. 66, no. 10, pp. 1248–1260, Oct. 2010.",60.7,fcu100,D1t1M50L1,250,49.55,0,44.45,44.45,1.25,22.225,700,0,0,85.4,1103,85.4,69.49920855705594,-15.900791442944069,15.900791442944069,-18.619193727100782,18.619193727100782,0.8138080627289922,0.20603073595687765,147.92224021908163,0.7991537655734284,0.0,0.7631569469729895,axial,circular,0.5773303586635622,0.4698361007386278,axial,circular,intermediate,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.8185714285714285
3,"Chitawadagi M V, Narasimhan M C, Kulkarni S M.Axial Strength of Circular Concrete-Filled Steel Tube Columns — DOE Approach.[J]. Journal of Constructional Steel Research. 2010, 66(10): 1248-1260.",41.4,"fck,size not specified, assumed as fck150",436,250,34.2,0,57.2,57.2,2,28.6,1000,0,0,144.3,10292,144.3,171.55929189464018,27.25929189464017,27.25929189464017,18.89070817369381,18.89070817369381,1.188907081736938,0.17303446641011602,222.11866609704504,0.8090399373724559,0.0,1.413634859618461,axial,circular,0.6496527398420195,0.7723767430679818,axial,circular,intermediate,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.7057142857142857
4,"Experimental behaviour of concrete-filled rectangular thin welded steel stubs (compression load case), Noureddine Ferhoune; Jahid Zeghiche, C. R. Mecanique, 2012",20,"Cylinder,size not specified, assumed as fcy150",P4/28,300,20,100,100,72,2.1,0,500,0,0,150,3921,150.0,179.62780754911003,29.62780754911003,29.62780754911003,19.751871699406685,19.751871699406685,1.1975187169940669,0.18025168023846105,336.0408,0.230964759590598,0.0,1.5868235815766625,axial,rectangular,0.4463743688266425,0.5345416614563173,axial,rectangular,very_stocky,scale_npl_q1,axial,high_conf,False,True,top_abs_pct_error,0.6819047619047619
5,"M. Dundu, “Column buckling tests of hot-rolled concrete filled square hollow sections of mild to high strength steel,” Engineering Structures, vol. 127, pp. 73–85, Nov. 2016.",28.8,"Cylinder,size not specified, assumed as fcy150",S2-2,528.55,28.8,0,60,60,4,0,2700,0,0,127.7,2366,127.7,159.09566556801005,31.395665568010045,31.395665568010045,24.585485957721257,24.585485957721257,1.2458548595772125,0.2198219284898267,517.6288,1.8975433131424528,0.0,5.6469017094017095,axial,square,0.24670188366644208,0.307354740632689,axial,square,slender,scale_npl_q1,axial,very_high_conf,False,True,top_abs_pct_error,0.6471428571428571
6,"Y. Wang, P. Chen, C. Liu, and Y. Zhang, “Size effect of circular concrete-filled steel tubular short columns subjected to axial compression,” Thin-Walled Structures, vol. 120, no. Supplement C, pp. 397–407, Nov. 2017.",73.2,"Cylinder,size not specified, assumed as fcy150",CFST-MD-2,317,73.2,0,474,474,7.42,237,948,0,0,18306,460,18306.0,17778.118569284445,-527.8814307155553,527.8814307155553,-2.8836525222088674,2.8836525222088674,0.9711634747779113,0.02926046772646299,17382.841216569992,0.1180264887642135,0.0,0.4341405193594037,axial,circular,1.0531074737396795,1.022739513511615,axial,circular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.6433333333333334
7,"Journal of Constructional Steel Research | Ultra-high performance concrete-filled dual steel tubular slender columns subjected to eccentric loads | V. Albero, C. Ibá?ez, A. Piquer, D. Hernández-Figueirido | 2026",124.1,fcu100,UHPC-IT,364.5,108.671,0,108,108,2,54,3000,50,50,133.7,6474,133.7,167.91844458368834,34.21844458368835,34.21844458368835,25.593451446288974,25.593451446288974,1.2559345144628897,0.22787992852027641,1423.809506318076,1.8652891981489108,0.4629629629629629,0.3505900528286088,eccentric,circular,0.09390301118703985,0.1179360327617982,eccentric,circular,slender,scale_npl_q3,large_ecc,low_conf,False,True,top_abs_pct_error,0.6242857142857142
8,"Journal of Constructional Steel Research | Design of concrete-filled corrugated steel tubular columns under biaxial eccentric compression | Chao-Qun Yu, Sheng-Jie Duan, Hui Jin... | 2025",34.6,fcy150,CFCST3,360,34.6,0,500,500,1.5,0,1500,0,0,12446,7279,12446.0,12848.916241961164,402.9162419611639,402.9162419611639,3.237315137081503,3.237315137081503,1.032373151370815,0.031860182490465634,9620.0314,0.1412902784213292,0.0,0.1256091462067201,axial,square,1.29375877089133,1.3356418194187145,axial,square,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.6176190476190476
9,"大尺寸钢管混凝土柱承载力试验, 陈彦江; 李勇; 闫维明; 潘迪, Unknown, 2011",38,"Cube,size not specified, assumed as fcu150",PY-1-5,342,31.065,0,500,500,10,250,1500,50,50,15353,5497,15353.0,14856.114934884958,-496.8850651150424,496.8850651150424,-3.2364037329189235,3.2364037329189235,0.9676359626708108,0.032899334059289645,14881.237031291565,0.155383997101839,0.1,1.164128684989231,eccentric,circular,1.0317018650879919,0.9983118274136901,eccentric,circular,very_stocky,scale_npl_q5,small_ecc,mid_conf,True,False,top_abs_error,0.6042857142857143
10,"Size effect in circular concrete-filled steel tubes with different diameter-to-thickness ratios under axial compression, Wenjing Wang; Hua Ma; Zhenbao Li; Zhenyun Tang, Engineering Structures, 2017",49.64,fck150,6D/t88-1,276,49.64,0,625.6,625.6,7.2,312.8,1890,0,0,23663,4994,23663.0,22925.994223999798,-737.0057760002019,737.0057760002019,-3.1145914550150104,3.1145914550150104,0.9688540854498499,0.03164126104116455,20477.44740998496,0.1645061226731279,0.0,0.4060069709993882,axial,circular,1.1555639492675116,1.1195728532463918,axial,circular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.6023809523809524
