Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-A-2,262,24.272,0,148,148,4.38,0,296,0,0,1153
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR4-A-4-1,262,38.702,0,148,148,4.38,0,296,0,0,1414
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR4-A-4-2,262,38.702,0,148,148,4.38,0,296,0,0,1402
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR4-A-8,262,73.581,0,148,148,4.38,0,296,0,0,2108
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-C-2,262,24.272,0,215,215,4.38,0,430,0,0,1777
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-C-4-1,262,39.275,0,215,215,4.38,0,430,0,0,2424
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-C-4-2,262,39.275,0,215,215,4.38,0,430,0,0,2393
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",80.3,Cylinder 100x200,CR4-C-8,262,76.735,0,215,215,4.38,0,430,0,0,3837
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR4-D-2,262,24.272,0,323,323,4.38,0,646,0,0,3367
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-D-4-1,262,39.275,0,323,323,4.38,0,646,0,0,4950
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR4-D-4-2,262,39.275,0,323,323,4.38,0,646,0,0,4830
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",80.3,Cylinder 100x200,CR4-D-8,262,76.735,0,324,324,4.38,0,648,0,0,7481
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-A-2,618,24.272,0,144,144,6.36,0,288,0,0,2572
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-A-4-1,618,38.702,0,144,144,6.36,0,288,0,0,2808
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-A-4-2,618,38.702,0,144,144,6.36,0,288,0,0,2765
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR6-A-8,618,73.581,0,144,144,6.36,0,288,0,0,3399
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-C-2,618,24.272,0,211,211,6.36,0,422,0,0,3920
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-C-4-1,618,38.702,0,211,211,6.36,0,422,0,0,4428
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR6-C-4-2,618,38.702,0,211,211,6.36,0,422,0,0,4484
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR6-C-8,618,73.581,0,211,211,6.36,0,422,0,0,5758
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR6-D-2,618,24.272,0,319,319,6.36,0,638,0,0,6320
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR6-D-4-1,618,39.275,0,319,319,6.36,0,638,0,0,7780
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",41.1,Cylinder 100x200,CR6-D-4-2,618,39.275,0,318,318,6.36,0,636,0,0,7473
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",85.1,Cylinder 100x200,CR6-D-8,618,81.322,0,319,319,6.36,0,638,0,0,10357
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR8-A-2,835,24.272,0,120,120,6.47,0,240,0,0,2819
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-A-4-1,835,38.702,0,120,120,6.47,0,240,0,0,2957
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",40.5,Cylinder 100x200,CR8-A-4-2,835,38.702,0,120,120,6.47,0,240,0,0,2961
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",77,Cylinder 100x200,CR8-A-8,835,73.581,0,119,119,6.47,0,238,0,0,3318
"Behavior of Centrally Loaded Concrete-Filled Steel-Tube Short Columns, Kenji Sakino; Hiroyuki Nakahara; Shosuke Morino; Isao Nishiyama, Journal of Structural Engineering, 2004",25.4,Cylinder 100x200,CR8-C-2,835,24.272,0,175,175,6.47,0,350,0,0,4210
