b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
148.0,148.0,0.0,4.38,0.0,262.0,24.272,296.0,0.0,0.0,1153.0,0.0,33.789954337899545,19387.7776,2439.4848,78.5577576131896,4.795907034789337,0.33333333333333337,1.3582065329880997,5.331651009786628,6.916056586985827,0.0666332846617104,0.0,0.0,0.0
148.0,148.0,0.0,4.38,0.0,262.0,38.702,296.0,0.0,0.0,1414.0,0.0,33.789954337899545,19387.7776,2439.4848,78.5577576131896,4.795907034789337,0.33333333333333337,0.8518006554877566,5.331651009786628,6.916056586985827,0.07271095873398906,0.0,0.0,0.0
148.0,148.0,0.0,4.38,0.0,262.0,38.702,296.0,0.0,0.0,1402.0,0.0,33.789954337899545,19387.7776,2439.4848,78.5577576131896,4.795907034789337,0.33333333333333337,0.8518006554877566,5.331651009786628,6.916056586985827,0.07271095873398906,0.0,0.0,0.0
148.0,148.0,0.0,4.38,0.0,262.0,73.581,296.0,0.0,0.0,2108.0,0.0,33.789954337899545,19387.7776,2439.4848,78.5577576131896,4.795907034789337,0.33333333333333337,0.44802855314126144,5.331651009786628,6.916056586985827,0.08494689062251325,0.0,0.0,0.0
215.0,215.0,0.0,4.38,0.0,262.0,24.272,430.0,0.0,0.0,1777.0,0.0,49.08675799086758,42534.937600000005,3613.3248,116.35845971088926,4.841573919979453,0.33333333333333337,0.9169738055336647,3.6338637522542663,6.922450125682636,0.06931403021789162,0.0,0.0,0.0
215.0,215.0,0.0,4.38,0.0,262.0,39.275,430.0,0.0,0.0,2424.0,0.0,49.08675799086758,42534.937600000005,3613.3248,116.35845971088926,4.841573919979453,0.33333333333333337,0.5666909791957507,3.6338637522542663,6.922450125682636,0.07692010020734608,0.0,0.0,0.0
215.0,215.0,0.0,4.38,0.0,262.0,39.275,430.0,0.0,0.0,2393.0,0.0,49.08675799086758,42534.937600000005,3613.3248,116.35845971088926,4.841573919979453,0.33333333333333337,0.5666909791957507,3.6338637522542663,6.922450125682636,0.07692010020734608,0.0,0.0,0.0
215.0,215.0,0.0,4.38,0.0,262.0,76.735,430.0,0.0,0.0,3837.0,0.0,49.08675799086758,42534.937600000005,3613.3248,116.35845971088926,4.841573919979453,0.33333333333333337,0.29004741262674283,3.6338637522542663,6.922450125682636,0.0918660667928272,0.0,0.0,0.0
323.0,323.0,0.0,4.38,0.0,262.0,24.272,646.0,0.0,0.0,3367.0,0.0,73.74429223744292,98746.7776,5505.4848,177.29093473404694,4.875268989219705,0.33333333333333326,0.6018224212489277,2.4015525236182422,6.925654794621911,0.07265807638827776,0.0,0.0,0.0
323.0,323.0,0.0,4.38,0.0,262.0,39.275,646.0,0.0,0.0,4950.0,0.0,73.74429223744292,98746.7776,5505.4848,177.29093473404694,4.875268989219705,0.33333333333333326,0.3719270224966002,2.4015525236182422,6.925654794621911,0.08155954701819407,0.0,0.0,0.0
